id_speaker;gender;ester1;ester2;etape;repere;all
332;male;43;NA;NA;NA;43
333;male;5;NA;NA;NA;5
334;NA;11;NA;NA;NA;11
335;male;1;NA;NA;NA;1
336;female;1;NA;NA;NA;1
337;female;3;NA;NA;NA;3
338;male;1;NA;NA;NA;1
339;male;2;NA;NA;NA;2
340;male;3;8;NA;NA;11
341;male;1;NA;NA;NA;1
342;male;12;NA;NA;NA;12
343;female;21;NA;NA;NA;21
344;male;64;NA;NA;NA;64
345;female;1;NA;NA;NA;1
346;female;11;NA;NA;NA;11
347;male;1;NA;NA;NA;1
348;male;40;NA;NA;NA;40
349;male;2;NA;NA;NA;2
350;female;3;NA;NA;NA;3
351;male;7;NA;NA;NA;7
352;female;3;NA;NA;NA;3
353;female;5;NA;NA;NA;5
354;male;3;NA;NA;NA;3
355;male;12;NA;NA;NA;12
356;male;2;NA;NA;NA;2
357;female;4;NA;NA;NA;4
358;female;1;NA;NA;NA;1
359;male;1;NA;NA;NA;1
360;male;5;NA;NA;NA;5
361;male;28;NA;NA;NA;28
362;male;17;NA;NA;NA;17
363;male;11;61;NA;NA;72
364;male;19;NA;NA;NA;19
365;male;24;NA;NA;NA;24
366;male;1;NA;NA;NA;1
367;female;2;NA;NA;NA;2
368;male;7;NA;NA;NA;7
369;female;1;NA;NA;NA;1
370;female;1;NA;NA;NA;1
371;male;1;NA;NA;NA;1
372;female;1;NA;NA;NA;1
373;male;29;NA;NA;NA;29
374;male;1;NA;NA;NA;1
375;male;65;NA;NA;NA;65
376;male;1;NA;NA;NA;1
377;male;1;NA;NA;NA;1
378;male;1;NA;NA;NA;1
379;female;1;NA;NA;NA;1
380;male;1;NA;NA;NA;1
381;male;1;NA;NA;NA;1
382;male;26;NA;NA;NA;26
383;male;2;NA;NA;NA;2
384;female;2;NA;NA;NA;2
385;male;1;NA;NA;NA;1
386;male;198;NA;NA;NA;198
387;male;2;NA;NA;NA;2
388;female;1;NA;NA;NA;1
389;male;1;NA;NA;NA;1
390;male;2;NA;NA;NA;2
391;male;4;NA;NA;NA;4
392;female;1;NA;NA;NA;1
393;female;103;NA;NA;NA;103
394;female;27;NA;NA;NA;27
395;male;9;NA;NA;NA;9
396;female;2;NA;NA;NA;2
397;male;2;NA;NA;NA;2
398;male;1;NA;NA;NA;1
399;female;7;NA;8;NA;15
400;male;2;NA;NA;NA;2
401;male;1;NA;NA;NA;1
402;male;1;NA;NA;NA;1
403;male;37;NA;NA;NA;37
404;male;19;NA;NA;NA;19
405;female;35;NA;391;NA;426
406;female;1;NA;NA;NA;1
407;male;39;NA;NA;NA;39
408;male;150;NA;NA;NA;150
409;female;2;NA;NA;NA;2
410;male;3;NA;NA;NA;3
411;female;2;NA;NA;NA;2
412;male;1;NA;NA;NA;1
413;male;2;NA;NA;NA;2
414;male;5;NA;NA;NA;5
415;male;38;NA;NA;NA;38
416;female;11;NA;NA;NA;11
417;male;7;NA;NA;NA;7
418;female;3;NA;NA;NA;3
419;male;1;NA;NA;NA;1
420;male;1;NA;NA;NA;1
421;male;2;NA;NA;NA;2
422;male;1;NA;NA;NA;1
423;female;2;NA;NA;NA;2
424;male;2;NA;NA;NA;2
425;female;17;NA;NA;NA;17
426;female;3;NA;NA;NA;3
427;female;1;NA;NA;NA;1
428;female;5;NA;NA;NA;5
429;female;4;NA;NA;NA;4
430;female;1;NA;NA;NA;1
431;female;1;NA;NA;NA;1
432;male;1;NA;NA;NA;1
433;female;4;NA;NA;NA;4
434;male;1;NA;NA;NA;1
435;male;1;NA;NA;NA;1
436;male;3;NA;NA;NA;3
437;male;2;NA;NA;NA;2
438;female;2;NA;NA;NA;2
439;female;3;NA;NA;NA;3
440;male;1;NA;NA;NA;1
441;male;6;NA;NA;NA;6
442;male;5;NA;NA;NA;5
443;female;1;NA;NA;NA;1
444;male;12;NA;NA;NA;12
445;male;7;NA;NA;NA;7
446;male;5;NA;NA;NA;5
447;male;2;NA;NA;NA;2
448;male;1;NA;NA;NA;1
449;male;1;NA;NA;NA;1
450;female;1;NA;NA;NA;1
451;female;4;NA;NA;NA;4
452;male;2;NA;NA;NA;2
453;female;4;NA;NA;NA;4
454;male;6;NA;11;NA;17
455;male;3;NA;NA;NA;3
456;male;1;NA;NA;NA;1
457;female;8;1;NA;NA;9
458;male;4;NA;NA;NA;4
459;female;1;NA;NA;NA;1
460;male;2;NA;NA;NA;2
461;male;1;NA;NA;NA;1
462;male;5;NA;NA;NA;5
463;male;6;NA;NA;NA;6
464;female;2;NA;NA;NA;2
465;female;2;NA;NA;NA;2
466;male;1;NA;NA;NA;1
467;male;6;NA;NA;NA;6
468;female;17;NA;NA;NA;17
469;female;1;NA;NA;NA;1
470;male;1;NA;NA;NA;1
471;male;1;NA;NA;NA;1
472;male;2;NA;NA;NA;2
473;male;4;NA;NA;NA;4
474;female;2;NA;NA;NA;2
475;male;6;NA;NA;NA;6
476;female;1;NA;NA;NA;1
477;male;1;NA;NA;NA;1
478;male;3;NA;NA;NA;3
479;female;4;NA;NA;NA;4
480;male;4;NA;NA;NA;4
481;female;24;NA;NA;NA;24
482;male;1;NA;NA;NA;1
483;male;16;NA;NA;NA;16
484;male;22;NA;NA;NA;22
485;female;7;NA;NA;NA;7
486;male;5;NA;NA;NA;5
487;male;33;NA;NA;NA;33
488;male;16;NA;NA;NA;16
489;male;4;NA;NA;NA;4
490;male;11;NA;NA;NA;11
491;male;23;NA;NA;NA;23
492;female;2;NA;NA;NA;2
493;female;2;NA;NA;NA;2
494;male;1;NA;NA;NA;1
495;male;9;NA;NA;NA;9
496;female;6;NA;NA;NA;6
497;female;4;NA;NA;NA;4
498;female;7;NA;NA;NA;7
499;male;5;NA;NA;NA;5
500;male;6;NA;NA;NA;6
501;female;2;NA;NA;NA;2
502;male;6;NA;NA;NA;6
503;male;1;NA;NA;NA;1
504;male;3;NA;NA;NA;3
505;male;1;NA;20;1;22
506;male;14;NA;NA;NA;14
507;female;24;NA;10;30;64
508;male;1;NA;NA;NA;1
509;male;2;NA;NA;NA;2
510;female;1;NA;NA;NA;1
511;male;2;NA;NA;NA;2
512;female;2;NA;NA;NA;2
513;male;3;NA;NA;NA;3
514;female;1;NA;NA;NA;1
515;male;1;NA;NA;NA;1
516;female;21;NA;NA;NA;21
517;male;1;8;NA;NA;9
518;female;1;NA;NA;NA;1
519;male;2;NA;NA;69;71
520;female;1;NA;NA;NA;1
521;female;1;NA;NA;NA;1
522;male;1;NA;NA;NA;1
523;male;1;NA;NA;NA;1
524;male;1;NA;NA;NA;1
525;male;1;NA;NA;NA;1
526;female;1;NA;NA;NA;1
527;male;14;NA;NA;NA;14
528;female;1;NA;NA;NA;1
529;male;21;NA;NA;NA;21
530;male;1;NA;NA;NA;1
531;male;1;NA;NA;NA;1
532;female;1;NA;NA;NA;1
533;female;1;NA;NA;NA;1
534;male;2;NA;NA;NA;2
535;male;31;NA;NA;NA;31
536;male;2;NA;NA;NA;2
537;male;6;NA;NA;NA;6
538;male;1;NA;NA;NA;1
539;male;1;NA;NA;NA;1
540;male;5;NA;NA;NA;5
541;male;1;NA;NA;NA;1
542;male;1;NA;NA;NA;1
543;male;6;NA;NA;NA;6
544;male;5;NA;NA;NA;5
545;female;1;NA;NA;NA;1
546;male;1;NA;NA;NA;1
547;male;1;NA;NA;NA;1
548;female;1;NA;NA;NA;1
549;male;1;NA;NA;NA;1
550;male;6;NA;NA;NA;6
551;male;8;NA;NA;NA;8
552;female;2;NA;NA;NA;2
553;male;1;NA;NA;NA;1
554;female;1;NA;NA;NA;1
555;female;8;NA;NA;NA;8
556;male;25;NA;NA;NA;25
557;male;1;NA;NA;NA;1
558;male;2;NA;NA;NA;2
559;male;1;NA;NA;NA;1
560;male;2;NA;NA;NA;2
561;female;3;NA;NA;NA;3
562;female;2;NA;NA;NA;2
563;female;2;NA;NA;NA;2
564;male;3;NA;NA;NA;3
565;male;2;NA;NA;NA;2
566;male;2;NA;NA;246;248
567;male;1;NA;NA;NA;1
568;female;1;NA;NA;NA;1
569;male;1;NA;NA;NA;1
570;male;3;NA;NA;NA;3
571;male;2;NA;NA;NA;2
572;female;2;NA;NA;NA;2
573;male;1;NA;NA;NA;1
574;male;1;NA;NA;NA;1
575;male;1;NA;NA;NA;1
576;male;2;NA;NA;NA;2
577;female;1;NA;NA;NA;1
578;female;1;NA;NA;NA;1
579;male;6;NA;NA;NA;6
580;male;2;NA;NA;NA;2
581;male;2;NA;NA;NA;2
582;female;2;NA;NA;NA;2
583;male;2;NA;NA;NA;2
584;male;7;NA;NA;NA;7
585;female;15;NA;NA;NA;15
586;female;4;NA;NA;NA;4
587;female;20;NA;NA;NA;20
588;female;1;NA;98;NA;99
589;female;1;NA;NA;5;6
590;female;2;NA;NA;NA;2
591;male;3;NA;NA;NA;3
592;male;1;NA;NA;NA;1
593;male;2;NA;NA;NA;2
594;male;22;NA;NA;1;23
595;female;1;NA;NA;NA;1
596;male;2;NA;NA;NA;2
597;male;3;NA;NA;NA;3
598;female;1;NA;NA;NA;1
599;male;2;NA;NA;NA;2
600;female;7;NA;NA;NA;7
601;male;3;NA;NA;NA;3
602;female;3;NA;NA;NA;3
603;male;3;NA;NA;NA;3
604;male;3;1;13;31;48
605;male;2;NA;NA;NA;2
606;male;1;NA;NA;NA;1
607;male;1;NA;NA;NA;1
608;female;2;NA;NA;NA;2
609;male;2;NA;NA;NA;2
610;female;5;NA;NA;NA;5
611;male;4;NA;NA;NA;4
612;female;3;NA;NA;NA;3
613;female;8;NA;NA;NA;8
614;male;6;NA;NA;NA;6
615;male;8;NA;NA;NA;8
616;male;10;NA;NA;NA;10
617;male;6;NA;NA;NA;6
618;female;2;NA;NA;NA;2
619;male;1;NA;NA;NA;1
620;male;1;NA;NA;NA;1
621;female;3;NA;NA;NA;3
622;female;1;NA;NA;NA;1
623;male;1;NA;NA;NA;1
624;female;2;NA;NA;NA;2
625;male;12;NA;NA;NA;12
626;male;2;NA;NA;NA;2
627;female;1;NA;NA;NA;1
628;NA;1;NA;NA;NA;1
629;NA;1;NA;NA;NA;1
630;NA;1;NA;NA;NA;1
631;NA;1;NA;NA;NA;1
632;NA;1;NA;NA;NA;1
633;NA;1;NA;NA;NA;1
634;NA;1;NA;NA;NA;1
635;NA;1;NA;NA;NA;1
636;NA;1;NA;NA;NA;1
637;female;4;NA;NA;NA;4
638;female;1;NA;NA;NA;1
639;male;1;NA;NA;NA;1
640;female;1;NA;NA;NA;1
641;NA;1;NA;NA;NA;1
642;NA;1;NA;NA;NA;1
643;NA;1;NA;NA;NA;1
644;NA;1;NA;NA;NA;1
645;NA;1;NA;NA;NA;1
646;NA;1;NA;NA;NA;1
647;NA;1;NA;NA;NA;1
648;male;4;NA;NA;NA;4
649;male;2;NA;NA;NA;2
650;male;5;NA;NA;NA;5
651;male;2;NA;NA;NA;2
652;male;1;NA;NA;NA;1
653;male;1;NA;NA;NA;1
654;male;56;NA;NA;NA;56
655;male;2;NA;NA;NA;2
656;female;1;NA;NA;NA;1
657;male;1;NA;NA;NA;1
658;female;1;NA;NA;NA;1
659;male;2;NA;NA;NA;2
660;male;1;NA;NA;NA;1
661;female;2;NA;NA;NA;2
662;male;2;NA;NA;NA;2
663;female;6;NA;NA;NA;6
664;female;7;NA;NA;NA;7
665;female;2;NA;NA;NA;2
666;female;1;NA;NA;NA;1
667;female;4;NA;NA;NA;4
668;female;1;NA;NA;NA;1
669;male;1;NA;NA;NA;1
670;female;2;NA;NA;NA;2
671;male;3;NA;NA;NA;3
672;male;3;NA;NA;NA;3
673;male;1;NA;NA;NA;1
674;female;1;NA;NA;NA;1
675;male;4;NA;NA;NA;4
676;male;3;NA;NA;NA;3
677;male;8;NA;NA;NA;8
678;male;10;NA;NA;NA;10
679;female;2;NA;NA;NA;2
680;male;5;NA;NA;NA;5
681;male;4;NA;NA;NA;4
682;male;7;NA;NA;NA;7
683;male;4;NA;NA;NA;4
684;male;1;NA;80;NA;81
685;female;3;NA;NA;NA;3
686;male;3;NA;NA;NA;3
687;male;2;NA;NA;NA;2
688;female;1;NA;NA;NA;1
689;male;2;NA;NA;NA;2
690;male;57;NA;NA;NA;57
691;male;2;NA;NA;NA;2
692;male;1;NA;NA;NA;1
693;female;2;NA;NA;NA;2
694;female;3;NA;NA;NA;3
695;male;7;NA;NA;NA;7
696;female;24;NA;NA;NA;24
697;male;2;NA;NA;NA;2
698;male;1;NA;NA;NA;1
699;male;1;NA;NA;NA;1
700;female;2;NA;NA;NA;2
701;male;2;NA;NA;NA;2
702;female;1;NA;NA;NA;1
703;male;1;NA;NA;NA;1
704;female;22;NA;NA;NA;22
705;male;1;NA;NA;NA;1
706;male;7;NA;NA;NA;7
707;female;1;NA;NA;NA;1
708;male;5;NA;NA;NA;5
709;male;20;NA;NA;NA;20
710;male;1;NA;NA;NA;1
711;female;1;NA;NA;NA;1
712;male;18;3;NA;NA;21
713;male;18;NA;NA;NA;18
714;male;4;NA;NA;NA;4
715;male;1;NA;NA;NA;1
716;male;9;NA;NA;NA;9
717;male;1;NA;NA;NA;1
718;male;1;NA;NA;NA;1
719;male;1;NA;NA;NA;1
720;female;2;NA;NA;NA;2
721;male;2;NA;NA;NA;2
722;male;1;NA;NA;NA;1
723;male;5;NA;NA;NA;5
724;male;2;NA;NA;NA;2
725;female;2;NA;NA;NA;2
726;female;26;NA;NA;NA;26
727;male;7;NA;NA;NA;7
728;female;2;NA;NA;NA;2
729;male;1;NA;NA;NA;1
730;male;2;NA;NA;NA;2
731;male;3;NA;NA;NA;3
732;female;1;NA;NA;NA;1
733;male;1;NA;NA;NA;1
734;male;1;NA;NA;NA;1
735;female;3;NA;NA;NA;3
736;male;3;NA;NA;NA;3
737;male;19;NA;NA;NA;19
738;male;5;NA;NA;NA;5
739;male;12;NA;NA;NA;12
740;male;8;NA;NA;NA;8
741;male;6;NA;NA;NA;6
742;male;8;NA;NA;NA;8
743;male;2;NA;NA;NA;2
744;male;1;NA;NA;NA;1
745;female;1;NA;NA;NA;1
746;male;18;NA;NA;NA;18
747;female;2;NA;NA;NA;2
748;male;1;NA;NA;NA;1
749;male;1;NA;NA;NA;1
750;male;2;NA;NA;NA;2
751;male;1;NA;NA;NA;1
752;male;3;NA;NA;NA;3
753;female;1;NA;NA;NA;1
754;male;1;NA;NA;NA;1
755;male;1;NA;NA;NA;1
756;male;1;NA;NA;NA;1
757;female;3;NA;NA;NA;3
758;male;1;NA;NA;NA;1
759;male;1;NA;NA;NA;1
760;female;1;NA;NA;NA;1
761;male;2;NA;NA;NA;2
762;male;1;NA;NA;NA;1
763;male;2;NA;NA;NA;2
764;female;2;NA;NA;NA;2
765;female;1;NA;NA;NA;1
766;male;1;NA;NA;NA;1
767;female;1;NA;NA;NA;1
768;male;1;NA;NA;NA;1
769;male;17;NA;NA;NA;17
770;male;1;NA;NA;NA;1
771;female;1;NA;NA;NA;1
772;female;5;6;NA;NA;11
773;male;1;NA;NA;NA;1
774;male;1;NA;NA;NA;1
775;male;1;NA;NA;NA;1
776;female;4;NA;NA;NA;4
777;male;4;2;NA;NA;6
778;female;1;NA;NA;NA;1
779;female;6;NA;NA;NA;6
780;male;2;NA;NA;NA;2
781;male;2;NA;NA;NA;2
782;male;1;NA;NA;NA;1
783;male;1;NA;NA;NA;1
784;female;1;NA;NA;NA;1
785;male;2;NA;NA;NA;2
786;female;1;NA;NA;NA;1
787;male;1;NA;NA;NA;1
788;male;6;NA;NA;NA;6
789;male;2;NA;NA;NA;2
790;male;1;NA;NA;NA;1
791;male;1;NA;NA;NA;1
792;male;1;NA;NA;NA;1
793;male;2;NA;NA;NA;2
794;male;7;NA;NA;NA;7
795;male;3;NA;NA;NA;3
796;male;1;NA;NA;NA;1
797;male;15;NA;NA;NA;15
798;male;4;NA;NA;NA;4
799;male;2;NA;NA;NA;2
800;male;2;NA;NA;NA;2
801;female;1;NA;NA;NA;1
802;female;3;NA;NA;NA;3
803;female;2;NA;NA;NA;2
804;male;11;NA;NA;NA;11
805;male;5;NA;NA;NA;5
806;male;7;NA;NA;NA;7
807;female;7;NA;NA;NA;7
808;male;13;NA;NA;NA;13
809;male;4;NA;NA;NA;4
810;male;4;NA;NA;NA;4
811;male;1;NA;NA;NA;1
812;female;2;NA;NA;NA;2
813;male;3;NA;NA;NA;3
814;female;3;NA;NA;NA;3
815;male;1;NA;NA;NA;1
816;male;1;NA;NA;NA;1
817;male;3;NA;NA;NA;3
818;male;2;NA;NA;NA;2
819;female;1;NA;NA;NA;1
820;male;3;NA;NA;NA;3
821;male;2;NA;NA;NA;2
